full_route,boarding_rides,rides_rev_hour,rides_veh_hour,cost_per_ride,passenger_miles,delete1,ave_trip_length,delete2,delete3,delete4,delete5
MAX Blue Line,"53,700",161.1,131.5,$2.80,"344,066",54.9,"55,190",136.0,"-1,490",-4.5,
MAX Green Line,"21,090",174.3,128.6,$2.86,"99,023",47.7,"21,640",134.9,-550,-6.3,
MAX Orange Line,"12,110",152.9,117.8,$3.13,"49,748",39.8,"12,060",117.2,50,0.6,
MAX Red Line,"21,900",157.4,128.6,$2.86,"126,517",46.7,"20,250",123.6,"1,650",5.0,
MAX Yellow Line,"13,180",178.4,128.8,$2.86,"41,927",40.2,"13,180",132.0,0,-3.1,
WES Commuter Rail,"1,440",100.2,58.9,$24.41,"12,105",26.0,"1,580",64.5,-140,-5.6,
1-Vermont,430,21.9,14.5,$7.44,"1,235",5.0,410,16.1,20,-1.5,
2-Division,"9,290",43.9,33.1,$3.28,"29,641",12.4,,,,,
4-Fessenden,"6,650",36.4,27.5,$3.94,"19,310",10.2,"16,450",37.3,"-9,800",-9.8,
6-Martin Luther King Jr Blvd,"6,260",44.9,33.9,$3.20,"17,013",9.3,"5,950",33.7,310,0.2,
8-Jackson Park/NE 15th,"5,980",42.5,29.7,$3.65,"12,888",9.2,"6,090",31.5,-110,-1.8,
9-Powell Blvd,"8,330",40.6,30.7,$3.53,"29,906",12.0,"8,750",32.4,-420,-1.7,
10-Harold St,"2,300",29.1,23.0,$4.70,"6,889",6.5,"2,360",23.9,-60,-0.9,
11-Rivergate/Marine Dr,160,14.4,9.5,$11.35,866,3.5,160,9.5,0,0.1,
12-Barbur/Sandy Blvd,"8,000",42.0,31.2,$3.47,"28,654",12.6,"8,200",32.0,-200,-0.8,
14-Hawthorne,"5,780",49.5,37.5,$2.89,"11,745",9.7,"5,910",41.9,-130,-4.4,
15-Belmont/NW 23rd,"8,220",44.6,32.2,$3.36,"18,788",10.0,"8,160",32.5,60,-0.3,
16-Front Ave/St Helens Rd,800,21.5,15.4,$7.03,"4,690",6.4,770,15.0,30,0.4,
17-Holgate/Broadway,"6,190",36.6,28.4,$3.82,"21,188",11.0,"5,970",27.8,220,0.6,
18-Hillside,30,16.8,16.8,$6.43,59,2.6,30,13.9,0,3.0,
19-Woodstock/Glisan,"5,630",32.3,25.0,$4.34,"18,300",8.4,"6,020",27.7,-390,-2.7,
20-Burnside/Stark,"11,430",42.6,34.0,$3.19,"46,132",12.4,"11,020",36.0,410,-2.0,
21-Sandy Blvd/223rd,"1,980",30.9,20.0,$5.41,"6,890",6.2,"2,070",21.0,-90,-1.0,
22-Parkrose,550,24.4,18.0,$6.02,707,2.2,560,23.0,-10,-5.0,
23-San Rafael,160,16.9,11.3,$9.55,262,1.8,140,12.4,20,-1.1,
24-Fremont/NW 18th,940,14.4,10.5,$10.36,"3,259",3.9,500,14.3,440,-3.8,
25-Glisan/Rockwood,170,17.7,11.6,$9.33,329,2.3,160,15.5,10,-3.9,
29-Lake/Webster Rd,160,13.2,10.6,$10.18,578,2.9,230,15.4,-70,-4.7,
30-Estacada,590,16.3,10.7,$10.13,"5,906",6.1,580,10.5,10,0.2,
31-Webster Rd,520,17.1,10.8,$10.04,"2,306",4.3,,,,,
32-Oatfield,600,14.4,10.0,$10.80,"2,191",3.6,600,11.0,0,-0.9,
33-McLoughlin/King Rd,"4,910",33.4,24.5,$4.42,"19,853",9.3,"5,100",25.4,-190,-0.9,
34-Linwood/River Rd,540,13.1,10.1,$10.73,"2,534",3.8,520,9.7,20,0.4,
35-Macadam/Greeley,"3,670",29.5,22.1,$4.90,"20,332",11.1,"3,800",24.7,-130,-2.6,
36-South Shore,200,19.3,11.5,$9.43,906,5.7,210,11.9,-10,-0.4,
37-Lake Grove,70,18.2,11.9,$9.08,216,2.7,80,12.7,-10,-0.8,
38-Boones Ferry Rd,410,20.1,12.8,$8.45,"2,634",8.1,410,13.0,0,-0.2,
39-Lewis & Clark,150,15.1,10.1,$10.76,317,2.3,150,11.1,0,-1.0,
42-Denney/Hall,430,21.5,16.2,$6.66,"1,280",4.9,390,14.6,40,1.6,
,,TriMet Service Performance and Analysis.,,,,Report production date: 06/14/2019,,,,,
,,,,,,,,,,,
,Route Ridership Report,,,,Weekdays,,,Spring 2019,,2,
,,,,Spring 2019 Quarter,,,,Spring 2018 Quarter,,,
,,,,,,Passenger,,Rides,,Rides,
,,Rides,Rides,Cost,,Miles Per,,Per,,Per,
,Boarding,Revenue,Vehicle,Per,Passenger,Revenue,Boarding,Vehicle,Rides,Hour,
Route,Rides,Hour,Hour,Ride,Miles,Mile,Rides,Hour,Change,Change,
43-Taylors Ferry Rd,330,15.2,11.5,$9.44,"1,421",4.5,310,10.8,20,0.6,
44-Capitol Hwy/Mocks Crest,"4,840",37.3,26.0,$4.16,"19,552",11.9,"4,650",25.6,190,0.4,
45-Garden Home,"1,060",23.9,18.0,$6.02,"4,975",7.9,"1,040",17.9,20,0.1,
46-North Hillsboro,210,17.1,12.6,$8.57,595,2.5,200,12.7,10,0.0,
47-Main/Evergreen,"1,020",18.8,13.9,$7.79,"4,020",4.0,"1,010",13.8,10,0.1,
48-Cornell,"1,820",33.9,23.2,$4.67,"7,310",8.2,"1,770",22.4,50,0.7,
50-Cedar Mill,90,18.1,11.4,$9.47,330,3.3,80,9.8,10,1.7,
51-Vista,300,21.5,13.9,$7.77,597,3.7,320,14.9,-20,-0.9,
52-Farmington/185th,"4,240",46.2,33.2,$3.26,"11,131",9.1,"4,280",33.5,-40,-0.2,
53-Arctic/Allen,200,47.4,28.0,$3.87,414,7.1,200,28.0,0,0.0,
54-Beaverton-Hillsdale Hwy,"2,280",43.3,33.5,$3.24,"7,751",10.7,"2,450",35.7,-170,-2.3,
55-Hamilton,70,26.7,13.5,$8.00,301,8.5,70,14.0,0,-0.5,
56-Scholls Ferry Rd,"1,790",33.6,25.8,$4.20,"7,930",10.5,"1,860",28.3,-70,-2.5,
57-TV Hwy/Forest Grove,"7,230",47.1,34.6,$3.13,"33,038",12.9,"7,120",35.3,110,-0.7,
58-Canyon Rd,"1,020",33.1,23.8,$4.55,"3,759",7.1,"1,060",26.4,-40,-2.6,
59-Walker/Park Way,100,20.9,14.6,$7.44,309,3.9,90,13.7,10,0.9,
61-Marquam Hill/Beaverton,550,47.1,24.3,$4.46,"3,624",20.7,520,29.3,30,-5.1,
62-Murray Blvd,"2,170",35.4,26.8,$4.04,"7,932",8.8,"2,310",28.6,-140,-1.8,
63-Washington Park/Arlington Hts,120,17.1,10.4,$10.44,194,2.4,120,10.1,0,0.3,
64-Marquam Hill/Tigard,450,41.1,20.6,$5.26,"2,396",15.8,400,25.0,50,-4.4,
65-Marquam Hill/Barbur Blvd,130,30.0,14.9,$7.26,381,7.0,150,18.2,-20,-3.3,
66-Marquam Hill/Hollywood,460,37.2,19.2,$5.64,"1,944",13.0,440,23.0,20,-3.8,
67-Bethany/158th,670,28.2,20.9,$5.19,"1,374",3.3,680,21.2,-10,-0.4,
68-Marquam Hill/Collins Circle,490,47.8,22.0,$4.93,"1,003",10.3,460,20.6,30,1.4,
70-12th/NE 33rd Ave,"3,250",29.4,21.7,$4.99,"9,161",6.8,"3,220",21.5,30,0.2,
71-60th Ave,"3,520",29.9,22.2,$4.89,"10,842",7.0,"3,750",25.7,-230,-3.6,
72-Killingsworth/82nd Ave,"14,190",48.0,37.4,$2.90,"39,122",11.0,"14,740",40.1,-550,-2.7,
73-122nd Ave,"4,400",46.5,31.9,$3.39,"9,038",7.3,"4,170",35.8,230,-3.9,
74-162nd Ave,430,26.5,16.9,$6.41,746,2.6,370,14.3,60,2.6,
75-Cesar Chavez/Lombard,"8,610",37.5,29.4,$3.68,"26,944",8.9,"8,820",30.2,-210,-0.7,
76-Beaverton/Tualatin,"2,400",40.2,30.2,$3.59,"8,911",11.1,"2,500",31.5,-100,-1.3,
77-Broadway/Halsey,"5,520",34.9,26.9,$4.02,"17,381",9.0,"5,530",27.0,-10,-0.1,
78-Beaverton/Lake Oswego,"2,320",35.9,26.2,$4.13,"9,020",9.5,"2,460",27.8,-140,-1.6,
79-Clackamas/Oregon City,740,25.9,17.2,$6.31,"3,135",6.0,"1,020",19.9,-280,-2.8,
80-Kane/Troutdale Rd,240,21.1,15.2,$7.13,659,3.3,270,16.9,-30,-1.7,
81-Kane/257th,470,25.7,18.5,$5.86,"1,562",5.0,230,17.6,240,0.9,
82-South Gresham,220,11.8,8.4,$12.83,518,1.8,190,7.2,30,1.3,
84-Powell Valley/Orient Dr,70,14.8,8.8,$12.24,239,2.8,80,10.4,-10,-1.5,
85-Swan Island,430,28.3,19.8,$5.47,"1,060",3.9,410,19.0,20,0.8,
,,TriMet Service Performance and Analysis.,,,,Report production date: 06/14/2019,,,,,
,,,,,,,,,,,
Route Ridership Report,,,,,Weekdays,,,Spring 2019,,3,
,,,,Spring 2019 Quarter,,,,Spring 2018 Quarter,,,
,,,,,,Passenger,,Rides,,Rides,
,,Rides,Rides,Cost,,Miles Per,,Per,,Per,
,Boarding,Revenue,Vehicle,Per,Passenger,Revenue,Boarding,Vehicle,Rides,Hour,
Route,Rides,Hour,Hour,Ride,Miles,Mile,Rides,Hour,Change,Change,
87-Airport Way/181st,"1,040",29.6,19.6,$5.51,"2,868",5.3,900,17.0,140,2.7,
88-Hart/198th,"1,590",35.4,24.2,$4.47,"5,932",7.7,"1,630",24.8,-40,-0.6,
92-South Beaverton Express,350,27.9,17.1,$6.32,"3,047",15.7,380,18.7,-30,-1.6,
93-Tigard/Sherwood,650,22.7,13.9,$7.80,"1,905",3.9,630,13.3,20,0.6,
94-Pacific Hwy/Sherwood,"2,300",31.6,19.8,$5.46,"13,833",12.4,"2,310",21.0,-10,-1.2,
96-Tualatin/I-5,"1,230",21.2,12.8,$8.45,"9,776",8.6,"1,070",15.8,160,-3.0,
97-Tualatin-Sherwood Rd,80,10.3,5.2,$20.73,176,1.4,90,5.5,-10,-0.3,
99-Macadam/McLoughlin,780,19.7,13.3,$8.15,"3,429",6.0,720,12.2,60,1.1,
152-Milwaukie,200,11.4,6.9,$15.70,509,2.3,180,6.1,20,0.8,
154-Willamette/Clackamas Heights,140,14.9,9.3,$11.69,307,1.5,130,9.1,10,0.1,
155-Sunnyside,570,24.6,17.4,$6.22,"1,580",4.4,580,16.5,-10,0.9,
156-Mather Rd,190,18.1,13.7,$7.88,774,4.1,200,13.9,-10,-0.2,
272-PDX Night Bus,20,10.9,5.8,$18.61,62,2.0,,,,,
291-Orange Night Bus,30,21.5,16.7,$6.47,75,4.4,30,24.6,0,-7.9,
,,,,,,,,,,,
TriMet Service Performance and Analysis.,Report production date: 06/14/2019,,,,,,,,,,
